method,path,auth,path_params,source
GET,/api/v1/admin/monthly-activity/records,admin,,admin.py:monthly_activity_records
GET,/api/v1/admin/payment-configs,admin,,admin.py:list_payment_configs
POST,/api/v1/admin/payment-configs,admin,,admin.py:create_payment_config
DELETE,/api/v1/admin/payment-configs/{config_id},admin,config_id,admin.py:delete_payment_config
PATCH,/api/v1/admin/payment-configs/{config_id},admin,config_id,admin.py:update_payment_config
POST,/api/v1/admin/payment-configs/{config_id}/activate,admin,config_id,admin.py:activate_payment_config
GET,/api/v1/admin/payments/orders,admin,,admin.py:list_payment_orders
GET,/api/v1/admin/plan-feature-catalogue,admin,,admin.py:plan_feature_catalogue
GET,/api/v1/admin/plan-matrix-rows,admin,,admin.py:plan_matrix_rows
GET,/api/v1/admin/plan-upgrade-requests,admin,,admin.py:list_plan_upgrade_requests
POST,/api/v1/admin/plan-upgrade-requests/{req_id}/approve,admin,req_id,admin.py:approve_plan_upgrade
POST,/api/v1/admin/plan-upgrade-requests/{req_id}/reject,admin,req_id,admin.py:reject_plan_upgrade
GET,/api/v1/admin/plans,admin,,admin.py:admin_list_plans
POST,/api/v1/admin/plans,admin,,admin.py:admin_create_plan
DELETE,/api/v1/admin/plans/{plan_id},admin,plan_id,admin.py:admin_delete_plan
PATCH,/api/v1/admin/plans/{plan_id},admin,plan_id,admin.py:admin_update_plan
GET,/api/v1/admin/profile-changes,admin,,admin.py:list_profile_changes
POST,/api/v1/admin/profile-changes/{req_id}/approve,admin,req_id,admin.py:approve_profile_change
POST,/api/v1/admin/profile-changes/{req_id}/reject,admin,req_id,admin.py:reject_profile_change
GET,/api/v1/admin/rc-configs,admin,,admin.py:list_rc_configs
POST,/api/v1/admin/rc-configs,admin,,admin.py:create_rc_config
DELETE,/api/v1/admin/rc-configs/{config_id},admin,config_id,admin.py:delete_rc_config
PATCH,/api/v1/admin/rc-configs/{config_id},admin,config_id,admin.py:update_rc_config
POST,/api/v1/admin/rc-configs/{config_id}/activate,admin,config_id,admin.py:activate_rc_config
GET,/api/v1/admin/reminders/report,admin,,admin.py:reminders_report
POST,/api/v1/admin/reminders/send-bulk,admin,,admin.py:send_reminder_bulk
POST,/api/v1/admin/reminders/send-one,admin,,admin.py:send_reminder_one
GET,/api/v1/admin/reports,admin,,moderation.py:list_reports
GET,/api/v1/admin/reports/boost-bury,admin,,admin.py:boost_bury_report
POST,/api/v1/admin/reports/export,admin,,admin.py:export_report_xlsx
GET,/api/v1/admin/reports/revenue,admin,,admin.py:revenue_report
GET,/api/v1/admin/reports/revenue-combined,admin,,admin.py:revenue_combined
GET,/api/v1/admin/reports/subscribers,admin,,admin.py:subscribers_report
PATCH,/api/v1/admin/reports/{report_id},admin,report_id,moderation.py:action_report
GET,/api/v1/admin/revenue,admin,,admin.py:revenue_summary
GET,/api/v1/admin/rto-cities,admin,,admin.py:list_rto_cities
POST,/api/v1/admin/rto-cities,admin,,admin.py:upsert_rto_city
DELETE,/api/v1/admin/rto-cities/{row_id},admin,row_id,admin.py:delete_rto_city
GET,/api/v1/admin/schedule-logs,admin,,admin.py:schedule_logs
GET,/api/v1/admin/scheduled-jobs/vehicle-cleanup,admin,,admin.py:get_vehicle_cleanup_job
PUT,/api/v1/admin/scheduled-jobs/vehicle-cleanup,admin,,admin.py:save_vehicle_cleanup_job
POST,/api/v1/admin/scheduled-jobs/vehicle-cleanup/run-now,admin,,admin.py:run_vehicle_cleanup_job
POST,/api/v1/admin/scheduled-jobs/vehicle-cleanup/start,admin,,admin.py:start_vehicle_cleanup_job
POST,/api/v1/admin/scheduled-jobs/vehicle-cleanup/stop,admin,,admin.py:stop_vehicle_cleanup_job
GET,/api/v1/admin/server-metrics,admin,,admin_metrics.py:server_metrics
GET,/api/v1/admin/service-add-requests,admin,,admin.py:list_service_add_requests
POST,/api/v1/admin/service-add-requests/{req_id}/approve,admin,req_id,admin.py:approve_service_add
POST,/api/v1/admin/service-add-requests/{req_id}/reject,admin,req_id,admin.py:reject_service_add
GET,/api/v1/admin/service-features,admin,,admin.py:admin_list_service_features
POST,/api/v1/admin/service-features,admin,,admin.py:admin_create_service_feature
DELETE,/api/v1/admin/service-features/{feature_id},admin,feature_id,admin.py:admin_delete_service_feature
PATCH,/api/v1/admin/service-features/{feature_id},admin,feature_id,admin.py:admin_update_service_feature
POST,/api/v1/admin/service-providers,admin,,admin.py:admin_create_service_provider
PATCH,/api/v1/admin/service-providers/{user_id},admin,user_id,admin.py:admin_update_service_provider
GET,/api/v1/admin/service-types,admin,,admin.py:admin_list_service_types
POST,/api/v1/admin/service-types,admin,,admin.py:admin_create_service_type
DELETE,/api/v1/admin/service-types/{type_id},admin,type_id,admin.py:admin_delete_service_type
PATCH,/api/v1/admin/service-types/{type_id},admin,type_id,admin.py:admin_update_service_type
GET,/api/v1/admin/sms-config,admin,,admin.py:get_sms_config
PUT,/api/v1/admin/sms-config,admin,,admin.py:save_sms_config
GET,/api/v1/admin/sms-config/reveal,admin,,admin.py:reveal_sms_config
POST,/api/v1/admin/sms-config/test,admin,,admin.py:test_sms_config
GET,/api/v1/admin/stale-listings,admin,,admin.py:stale_listings
POST,/api/v1/admin/stale-listings/{vehicle_id}/delist,admin,vehicle_id,admin.py:delist_stale_listing
GET,/api/v1/admin/stats,admin,,admin.py:platform_stats
POST,/api/v1/admin/subscription/send-reminders,admin,,admin.py:send_subscription_reminders
GET,/api/v1/admin/users,admin,,admin.py:list_users
GET,/api/v1/admin/users/{dealer_id}/employees,admin,dealer_id,admin.py:list_dealer_employees
POST,/api/v1/admin/users/{user_id}/send-reminder,admin,user_id,admin.py:send_user_renewal_reminder
PATCH,/api/v1/admin/users/{user_id}/service-features,admin,user_id,admin.py:admin_assign_provider_features
PATCH,/api/v1/admin/users/{user_id}/status,admin,user_id,admin.py:set_user_status
POST,/api/v1/admin/users/{user_id}/subscription,admin,user_id,admin.py:assign_subscription
POST,/api/v1/admin/users/{user_id}/verify-gst,admin,user_id,admin.py:verify_user_gst
GET,/api/v1/admin/vehicles/{vehicle_id}/images,admin,vehicle_id,admin.py:admin_vehicle_images
POST,/api/v1/admin/vehicles/{vehicle_id}/remove-photos,admin,vehicle_id,admin.py:admin_remove_photos
POST,/api/v1/admin/vehicles/{vehicle_id}/request-removal,admin,vehicle_id,admin.py:admin_request_removal
GET,/api/v1/admin/wishlist-demand,admin,,admin.py:wishlist_demand
GET,/api/v1/ads,public,,ads.py:list_active_ads
GET,/api/v1/ads/{ad_id}/image,public,ad_id,ads.py:serve_ad_image
GET,/api/v1/agreement,authenticated,,agreements.py:my_agreement
POST,/api/v1/agreement/accept,authenticated,,agreements.py:accept_agreement
GET,/api/v1/agreement/my-pdf,authenticated,,agreements.py:my_agreement_pdf
POST,/api/v1/ai/advisor,authenticated,,ai_advisor.py:advisor
POST,/api/v1/ai/advisor/public,public,,ai_advisor.py:advisor_public
GET,/api/v1/ai/tiles,authenticated,,ai_advisor.py:tiles
GET,/api/v1/ai/tiles/public,public,,ai_advisor.py:tiles_public
POST,/api/v1/ai/tiles/{tile_id}/tap,optional,tile_id,ai_advisor.py:tap_tile
GET,/api/v1/associates,public,,associates.py:list_active_associates
GET,/api/v1/associates/{associate_id}/logo,public,associate_id,associates.py:serve_associate_logo
GET,/api/v1/auth/captcha-config,public,,auth.py:captcha_config
POST,/api/v1/auth/captcha-ticket,public,,auth.py:captcha_ticket
GET,/api/v1/auth/check-email,public,,auth.py:check_email
GET,/api/v1/auth/check-phone,public,,auth.py:check_phone
POST,/api/v1/auth/forgot-password,public,,auth.py:forgot_password
POST,/api/v1/auth/google,public,,auth.py:google_auth
POST,/api/v1/auth/gst-check,authenticated,,auth.py:gst_check
POST,/api/v1/auth/login,public,,auth.py:login
POST,/api/v1/auth/logout,authenticated,,auth.py:logout
POST,/api/v1/auth/refresh,public,,auth.py:refresh
POST,/api/v1/auth/register,public,,auth.py:register
POST,/api/v1/auth/request-otp,public,,auth.py:request_otp
POST,/api/v1/auth/request-phone-otp,public,,auth.py:request_phone_otp
POST,/api/v1/auth/reset-password,public,,auth.py:reset_password
GET,/api/v1/auth/reset-password/validate,public,,auth.py:validate_reset_token
GET,/api/v1/blocks,authenticated,,moderation.py:my_blocks
POST,/api/v1/blocks,authenticated,,moderation.py:block_user
DELETE,/api/v1/blocks/{user_id},authenticated,user_id,moderation.py:unblock_user
GET,/api/v1/bookings,authenticated,,bookings.py:my_bookings
POST,/api/v1/bookings,authenticated,,bookings.py:create_booking
GET,/api/v1/bookings/dealer,authenticated,,bookings.py:dealer_bookings
POST,/api/v1/bookings/{booking_id}/accept-proposal,authenticated,booking_id,bookings.py:accept_proposal
PATCH,/api/v1/bookings/{booking_id}/cancel,authenticated,booking_id,bookings.py:cancel_booking
POST,/api/v1/bookings/{booking_id}/confirm,authenticated,booking_id,bookings.py:dealer_confirm
POST,/api/v1/bookings/{booking_id}/counter-propose,authenticated,booking_id,bookings.py:counter_propose
POST,/api/v1/bookings/{booking_id}/propose,authenticated,booking_id,bookings.py:dealer_propose
